page_num,list_page_url,title,url,published_date,category_raw,published_dt
3,https://beritamalang.media/category/berita/page/3/,"Polres Batu Sembelih 39 Hewan Kurban, Distribusikan ke Warga dan Ponpes Sekitar",https://beritamalang.media/polres-batu-sembelih-39-hewan-kurban-distribusikan-ke-warga-dan-ponpes-sekitar/,"May 27, 2026",Berita,2026-05-27
3,https://beritamalang.media/category/berita/page/3/,Polda Jawa Timur Matangkan Komunikasi Publik Lewat Rakernis Humas,https://beritamalang.media/polda-jawa-timur-matangkan-komunikasi-publik-lewat-rakernis-humas/,"May 21, 2026",Berita,2026-05-21
3,https://beritamalang.media/category/berita/page/3/,"Kekerasan Terhadap Jurnalis Saat Liputan, Pengacara Desak Penangkapan Pelaku",https://beritamalang.media/kekerasan-terhadap-jurnalis-saat-liputan-pengacara-desak-penangkapan-pelaku/,"May 20, 2026","Berita,,,Kriminal,,,Malang Raya",2026-05-20
3,https://beritamalang.media/category/berita/page/3/,"Kasus Dugaan Penganiayaan di Kalipare Diproses, Kuasa Hukum Apresiasi Kerja Satreskrim Polres Malang",https://beritamalang.media/kasus-dugaan-penganiayaan-di-kalipare-diproses-kuasa-hukum-apresiasi-kerja-satreskrim-polres-malang/,"May 20, 2026","Berita,,,Kriminal,,,Malang Raya",2026-05-20
3,https://beritamalang.media/category/berita/page/3/,"Polres Batu dan Dinas PUPR Jatim Bangun Pagar Pengaman di Jembatan Cangar, Cegah Aksi Bunuh Diri",https://beritamalang.media/polres-batu-dan-dinas-pupr-jatim-bangun-pagar-pengaman-di-jembatan-cangar-cegah-aksi-bunuh-diri/,"May 4, 2026",Berita,2026-05-04
3,https://beritamalang.media/category/berita/page/3/,Mengenal Tatanan Jenggolo Manik: Filosofi Jawa yang Hidup Lewat Cerita Lisan,https://beritamalang.media/mengenal-tatanan-jenggolo-manik-filosofi-jawa-yang-hidup-lewat-cerita-lisan/,"April 27, 2026","Berita,,,Ragam",2026-04-27
3,https://beritamalang.media/category/berita/page/3/,"Kasat Reskrim Polres Batu: Kasus Judi Online Lanjut, Tersangka Wajib Lapor",https://beritamalang.media/kasat-reskrim-polres-batu-kasus-judi-online-lanjut-tersangka-wajib-lapor/,"April 26, 2026","Berita,,,Kriminal",2026-04-26
3,https://beritamalang.media/category/berita/page/3/,GEBER Malang Hijaukan Lawang: Ratusan Pohon Ditanam Lintas Elemen,https://beritamalang.media/geber-malang-hijaukan-lawang-ratusan-pohon-ditanam-lintas-elemen/,"April 24, 2026","Berita,,,Malang Raya",2026-04-24
3,https://beritamalang.media/category/berita/page/3/,Pelatihan Karyawan AUMKes Kota Malang: Perkuat Ideologi dan Komitmen Dakwah di Era Disrupsi,https://beritamalang.media/pelatihan-karyawan-aumkes-kota-malang-perkuat-ideologi-dan-komitmen-dakwah-di-era-disrupsi/,"April 24, 2026","Berita,,,Malang Raya",2026-04-24
3,https://beritamalang.media/category/berita/page/3/,Inovasi Hijau: Tiga PTN Bersatu Kembangkan Pelindung Siku dan Lutut dari Serat Rami dan Limbah Sawit,https://beritamalang.media/inovasi-hijau-tiga-ptn-bersatu-kembangkan-pelindung-siku-dan-lutut-dari-serat-rami-dan-limbah-sawit/,"April 23, 2026","Berita,,,Bisnis,,,Malang Raya",2026-04-23
4,https://beritamalang.media/category/berita/page/4/,"Dibilang Nepotisme, GP Parmusi: Kepala DLH Kabupaten Malang Punya Rekam Jejak Jelas",https://beritamalang.media/dibilang-nepotisme-gp-parmusi-kepala-dlh-kabupaten-malang-punya-rekam-jejak-jelas/,"April 23, 2026","Berita,,,Malang Raya",2026-04-23
4,https://beritamalang.media/category/berita/page/4/,"Jalan Tebu Maut di Kalipare: Warga Geram, Pengendara Sudah Jatuh, 10 Tahun Tak Disentuh",https://beritamalang.media/jalan-tebu-maut-di-kalipare-warga-geram-pengendara-sudah-jatuh-10-tahun-tak-disentuh/,"April 22, 2026","Berita,,,Malang Raya",2026-04-22
4,https://beritamalang.media/category/berita/page/4/,Kopi Embongan Batu Jadi Wadah Baru Musisi Disabilitas Berkarya,https://beritamalang.media/kopi-embongan-batu-jadi-wadah-baru-musisi-disabilitas-berkarya/,"April 21, 2026","Berita,,,Bisnis,,,Kuliner,,,Ragam",2026-04-21
4,https://beritamalang.media/category/berita/page/4/,Camat Bumiaji: Kopi Embongan Wadah Keren Musisi Disabilitas,https://beritamalang.media/camat-bumiaji-kopi-embongan-wadah-keren-musisi-disabilitas/,"April 21, 2026","Berita,,,Bisnis,,,Kuliner,,,Ragam",2026-04-21
4,https://beritamalang.media/category/berita/page/4/,TNI Manunggal dengan Rakyat: Komando Kewilayahan Jadi Ujung Tombak Pertahanan dan Solusi Kesulitan Warga,https://beritamalang.media/tni-manunggal-dengan-rakyat-komando-kewilayahan-jadi-ujung-tombak-pertahanan-dan-solusi-kesulitan-warga/,"April 19, 2026","Berita,,,Malang Raya,,,Militer",2026-04-19
4,https://beritamalang.media/category/berita/page/4/,Solid dan Bersaudara: GRIB JAYA Malang Potong Tumpeng HUT ke-15,https://beritamalang.media/solid-dan-bersaudara-grib-jaya-malang-potong-tumpeng-hut-ke-15/,"April 19, 2026",Berita,2026-04-19
4,https://beritamalang.media/category/berita/page/4/,"Kondisi Memprihatinkan, Warga Minta Bupati Prioritaskan Perbaikan Jalan Kalirejo",https://beritamalang.media/kondisi-memprihatinkan-warga-minta-bupati-prioritaskan-perbaikan-jalan-kalirejo/,"April 17, 2026","Berita,,,Malang Raya",2026-04-17
