title,url,published_date,relative_date,date_source,page_num,list_page_url,source_category,excerpt,image_url,published_dt
Realisasi Bongkar Ratoon di Kabupaten Malang Baru 1.700 Hektare,https://timesindonesia.co.id/ekonomi/591743/realisasi-bongkar-ratoon-di-kabupaten-malang-baru-1700-hektare,2026-05-23,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Ekonomi,Realisasi program bongkar ratoon atau bongkar ratun di Kabupaten Malang pada tahun 2025 masih jauh dari target yang ditetapkan pemerintah.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/23/kepala-dinas-tanaman-pangan-hortikultura-yk4ti2j3.webp,2026-05-23
Guru Non-Dapodik Digaji dari BOS? Ini Penjelasan Inspektorat Kabupaten Malang,https://timesindonesia.co.id/pendidikan/591460/guru-nondapodik-digaji-dari-bos-ini-penjelasan-inspektorat-kabupaten-malang,2026-05-21,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pendidikan,Dinas Pendidikan Kabupaten Malang bersama tim Inspektorat Kabupaten Malang menekankan terkait pengelolaan BOSP dan Standar Harga Satuan (SHU).,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/21/pembinaan-asn-dqrqmcpt.webp,2026-05-21
Pelajar MTs Almaarif 01 Singosari Apel Rutin Bersama BNN Kabupaten Malang,https://timesindonesia.co.id/indonesia-positif/591403/pelajar-mts-almaarif-01-singosari-apel-rutin-bersama-bnn-kabupaten-malang,2026-05-21,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Indonesia Positif,"MTs Almaarif 01 Singosari, Malang kembali menggelar kegiatan apel rutin dengan menghadirkan pembina apel dari Badan Narkotika Nasional (BNN) Kabupaten Malang, Dina Widianingsih,",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/21/mts-almaarif-01-singosari-3-zcd6mfr4.webp,2026-05-21
Lorong Gelap Pembubaran PT Kigumas: Belasan Tahun Modal APBD Kabupaten Malang Menguap,https://timesindonesia.co.id/liputan-khusus/591299/lorong-gelap-pembubaran-pt-kigumas-belasan-tahun-modal-apbd-kabupaten-malang-menguap,2026-05-20,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Liputan Khusus,"DPRD Kabupaten Malang membentuk Pansus lanjutan untuk bahas Ranperda Pembubaran PT Kigumas. Beku sejak 2010, piutang tercatat Rp49,5 miliar, penyertaan modal Rp27,2 miliar.",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/20/lorong-gelap-pembubaran-pt-kigumas-onwrutrj.webp,2026-05-20
"Soal Portal Jembatan Lahor, DPRD Kabupaten Malang Pastikan Panggil PJT I",https://timesindonesia.co.id/peristiwa-daerah/591275/soal-portal-jembatan-lahor-dprd-kabupaten-malang-pastikan-panggil-pjt-i,2026-05-20,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Peristiwa Daerah,DPRD Kabupaten Malang memastikan segera menggelar rapat dengar pendapat dengan menghadirkan pihak Perum Jasa Tirta (PJT) I.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/20/ketua-komisi-i-dprd-kabupaten-malang-pa7fqnpq.webp,2026-05-20
BPS Catat 579 Ribu Penduduk Kabupaten Malang Berstatus Buruh,https://timesindonesia.co.id/ekonomi/591274/bps-catat-579-ribu-penduduk-kabupaten-malang-berstatus-buruh,2026-05-20,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Ekonomi,"Struktur ketenagakerjaan di Kabupaten Malang menunjukkan dominasi pekerja dengan status buruh, karyawan, dan pegawai.",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/20/para-wanita-di-kabupaten-malang-jpztxflb.webp,2026-05-20
HM Sanusi: dari Anak Petani Tebu hingga Jadi Orang Nomor 1 Kabupaten Malang,https://timesindonesia.co.id/sosok/591264/hm-sanusi-dari-anak-petani-tebu-hingga-jadi-orang-nomor-1-kabupaten-malang,2026-05-20,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Sosok,Bupati Malang HM Sanusi merayakan ulang tahun yang ke-66. Perjalanan hidup Abah Sanusi ini menjadi potret anak petani mampu menapaki jalan panjang pengabdian hingga menjadi pemimpin daerah.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/20/bupati-malang-hm-sanusi-yvojdyb2.webp,2026-05-20
"Demo Solidaritas Pak Dur di DPRD Kabupaten Malang Memanas, Massa Tuntut Kejelasan",https://timesindonesia.co.id/peristiwa-daerah/591218/demo-solidaritas-pak-dur-di-dprd-kabupaten-malang-memanas--massa-tuntut-kejelasan,2026-05-20,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Peristiwa Daerah,"Puluhan massa pendukung Pak Dur menggelar aksi damai di DPRD Kabupaten Malang, menuntut kejelasan dasar hukum portal dan retribusi Bendungan Lahor Karangkates.",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/20/dprd-kabupaten-malang-rnh2bnsr.webp,2026-05-20
Menanti Realisasi Penanganan Jalan Sukodono-Dampit Kabupaten Malang,https://timesindonesia.co.id/peristiwa-daerah/591099/menanti-realisasi-penanganan-jalan-sukodonodampit-kabupaten-malang,2026-05-19,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Peristiwa Daerah,Masyarakat di beberapa desa di wilayah Kecamatan Dampit Kabupaten Malang menunggu realisasi penanganan ruas jalan yang menghubungkan wilayah tersebut.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/19/kerusakan-ruas-jalan-dusun-sumbersuko-fe8c7gwn.webp,2026-05-19
Ini Kekuatan Kabupaten Malang Tekan Stunting hingga Dongkrak Investasi,https://timesindonesia.co.id/pemerintahan/591035/ini-kekuatan-kabupaten-malang-tekan-stunting-hingga-dongkrak-investasi,2026-05-19,,image_url,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pemerintahan,Semangat gotong royong menjadi salah satu kunci keberhasilan pembangunan di Kabupaten Malang. Mulai dari penurunan angka stunting hingga masuknya investasi besar.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/05/19/bbgrm-zffaxi31.webp,2026-05-19
