title,url,published_date,page_num,list_page_url,excerpt,image_url,published_dt
"Nekat Lewat Jalur Ilegal, 13 Pendaki Gunung Semeru Diamankan",https://www.detik.com/jatim/wisata/d-8534025/nekat-lewat-jalur-ilegal-13-pendaki-gunung-semeru-diamankan,"Selasa, 16 Jun 2026 13:00 WIB",1,https://www.detik.com/tag/kabupaten-malang,Balai Besar Taman Nasional Bromo Tengger Semeru mengamankan 13 pendaki ilegal. Penindakan ini untuk menjaga kawasan konservasi dan keselamatan pendaki.,https://akcdn.detik.net.id/community/media/visual/2026/06/16/belasan-pendaki-ilegal-gunung-semeru-diamankan-petugas-1781587571770_43.jpeg?w=300&q=80,2026-06-16 13:00:00
"Pesona Desa Wisata Peniwen Malang, Wisata Religi Kenaikan Yesus Kristus",https://www.detik.com/jatim/wisata/d-8485618/pesona-desa-wisata-peniwen-malang-wisata-religi-kenaikan-yesus-kristus,"Selasa, 12 Mei 2026 19:00 WIB",1,https://www.detik.com/tag/kabupaten-malang,"Desa Wisata Peniwen di Malang menawarkan suasana tenang dan nuansa religius. Nikmati keindahan alam, budaya, dan paket wisata edukasi yang menarik.",https://akcdn.detik.net.id/community/media/visual/2026/05/12/gkjw-peniwen-malang-1778563331193_43.jpeg?w=300&q=80,2026-05-12 19:00:00
"Bupati Malang Lantik Anak Kandung Jadi Kadis LH, Ini Penjelasan BKPSDM",https://news.detik.com/berita/d-8453548/bupati-malang-lantik-anak-kandung-jadi-kadis-lh-ini-penjelasan-bkpsdm,"Senin, 20 Apr 2026 22:55 WIB",1,https://www.detik.com/tag/kabupaten-malang,"BKPSDM Kabupaten Malang mengatakan pengangkatan Ahmad Dzulfikar sebagai Kadis LH. Proses seleksi terbuka dan transparan, melibatkan tim pansel dari universitas.",https://akcdn.detik.net.id/community/media/visual/2026/04/16/bupati-malang-sanusi-melantik-anak-kandungnya-sebagai-kepala-dinas-lingkungan-hidup-1776328301592_43.jpeg?w=300&q=80,2026-04-20 22:55:00
Kata PDIP Soal Bupati Malang Lantik Anak Kandung Jadi Kepala Dinas LH,https://www.detik.com/jatim/berita/d-8448466/kata-pdip-soal-bupati-malang-lantik-anak-kandung-jadi-kepala-dinas-lh,"Jumat, 17 Apr 2026 11:50 WIB",1,https://www.detik.com/tag/kabupaten-malang,Deddy Sitorus menanggapi pelantikan putra Bupati Malang sebagai Kepala Dinas. Ia menekankan hak jabatan harus sesuai mekanisme dan tidak melanggar aturan.,https://akcdn.detik.net.id/community/media/visual/2025/02/12/deddy-sitorus_43.jpeg?w=300&q=80,2026-04-17 11:50:00
"Longsor Terjang Dusun Sengon Malang, Jalan Sempat Lumpuh Total",https://www.detik.com/jatim/berita/d-8435257/longsor-terjang-dusun-sengon-malang-jalan-sempat-lumpuh-total,"Rabu, 08 Apr 2026 18:12 WIB",1,https://www.detik.com/tag/kabupaten-malang,"Hujan deras di Kabupaten Malang menyebabkan tanah longsor di Desa Dalisodo, menutup akses jalan. Tim BPBD telah melakukan pembersihan dan situasi kini normal.",https://akcdn.detik.net.id/community/media/visual/2026/04/08/longsor-di-wagir-kabupaten-malang-akibat-curah-hujan-deras-1775645139958_43.jpeg?w=300&q=80,2026-04-08 18:12:00
Gus Ipul Ajak Kades Se-Malang Hidupkan Puskesos dan Mutakhirkan Data,https://news.detik.com/berita/d-8421921/gus-ipul-ajak-kades-se-malang-hidupkan-puskesos-dan-mutakhirkan-data,"Senin, 30 Mar 2026 15:58 WIB",1,https://www.detik.com/tag/kabupaten-malang,"Mensos Gus Ipul mengajak pemerintah daerah di Malang untuk fokus pada layanan sosial, menghidupkan Puskesos, dan memutakhirkan DTSEN demi keakuratan data.",https://akcdn.detik.net.id/community/media/visual/2026/03/30/gus-ipul-ajak-kades-se-malang-hidupkan-puskesos-dan-mutakhirkan-data-1774861082805_43.jpeg?w=300&q=80,2026-03-30 15:58:00
Hujan Angin di Malang Bikin Pohon Tumbang Timpa Rumah dan Warung,https://www.detik.com/jatim/berita/d-8419507/hujan-angin-di-malang-bikin-pohon-tumbang-timpa-rumah-dan-warung,"Sabtu, 28 Mar 2026 19:15 WIB",1,https://www.detik.com/tag/kabupaten-malang,"Hujan deras dan angin kencang melanda Malang, menyebabkan pohon tumbang menimpa rumah dan warung. Tim BPBD segera tangani situasi tanpa korban jiwa.",https://akcdn.detik.net.id/community/media/visual/2026/03/28/pohon-jati-tumbang-akibat-cuaca-ekstrem-menimpa-rumah-kos-di-malang-1774694867872_43.jpeg?w=300&q=80,2026-03-28 19:15:00
"Lebaran Pertama, Ribuan Kendaraan Serbu Malang-Batu Lewat Exit Tol Singosari",https://www.detik.com/jatim/berita/d-8410180/lebaran-pertama-ribuan-kendaraan-serbu-malang-batu-lewat-exit-tol-singosari,"Sabtu, 21 Mar 2026 15:40 WIB",1,https://www.detik.com/tag/kabupaten-malang,"Arus lalu lintas di gerbang tol Singosari, Malang, meningkat pada Idul Fitri 1447 Hijriyah. Meski padat, lalu lintas tetap lancar menuju Kota Malang dan Batu.",https://akcdn.detik.net.id/community/media/visual/2026/03/21/kondisi-lalu-lintas-di-simpang-karanglo-1774081221256_43.jpeg?w=300&q=80,2026-03-21 15:40:00
"Cuaca Ekstrem Terjang Malang, 24 Bencana Terjadi dalam 4 Hari",https://www.detik.com/jatim/berita/d-8385737/cuaca-ekstrem-terjang-malang-24-bencana-terjadi-dalam-4-hari,"Kamis, 05 Mar 2026 16:54 WIB",1,https://www.detik.com/tag/kabupaten-malang,"Cuaca ekstrem di Kabupaten Malang menyebabkan 24 bencana hidrometeorologi, termasuk tanah longsor dan banjir, merusak 79 rumah. Warga diimbau waspada.",https://akcdn.detik.net.id/community/media/visual/2025/11/02/sebuah-pohon-tumbang-menimpa-mobil-di-malang-1762086334411_43.jpeg?w=300&q=80,2026-03-05 16:54:00
